cluster,accessible_surface_area,net_surface_charge,solubility,aggregation_tendency,zeta_potential,clouding_point,salt_bridges,tryptophan_accessibility,surface_roughness
0,16314.32911392405,-2.0025316455696203,17.643037974683544,0.21635443037974683,-17.364556962025315,61.99240506329114,4.215189873417722,34.69620253164557,1.3075949367088606
1,12903.913978494624,-2.6569892473118277,15.094623655913978,0.13133333333333333,-12.088172043010752,58.28924731182795,2.3333333333333335,27.39354838709677,1.4154838709677418
2,14752.774193548386,-0.15483870967741936,39.43225806451613,0.22766666666666668,-14.34516129032258,56.034408602150535,2.6451612903225805,34.616129032258065,1.5748387096774195
3,14615.329268292682,-5.303658536585366,18.804878048780488,0.3686341463414634,-16.097560975609756,63.33536585365854,3.573170731707317,70.51341463414634,1.368048780487805
4,14414.988505747126,0.37011494252873567,14.102298850574714,0.1289425287356322,-14.47816091954023,64.0022988505747,2.160919540229885,74.79770114942528,1.2951724137931035
5,13529.136363636364,-1.240909090909091,17.65909090909091,0.34525757575757576,-17.48181818181818,56.76969696969697,2.803030303030303,51.08787878787879,1.780151515151515
